分區業務組別代碼	醫事機構代碼	權屬別名稱	醫事機構名稱	機構地址	電話區域號碼	電話號碼	特約類別	型態別代碼	醫事機構種類	終止合約或歇業日期	原始合約起始日期
1	1131050515	醫療財團法人醫院	佛教慈濟醫療財團法人台北慈濟醫院	新北市新店區建國路２８９號	2	66289779	1	1	A		20050508
1	1131090019	醫療財團法人醫院	行天宮醫療志業醫療財團法人恩主公醫院	新北市三峽區復興路３９９號、中山路１９８、２５８號	2	26723456	2	1	A		19971008
1	1131100010	醫療財團法人醫院	台灣基督長老教會馬偕醫療財團法人淡水馬偕紀念醫院	新北市淡水區民生路４５號、民權路４７號B１至１０樓	2	28094661	1	1	A		19950301
1	1131110516	醫療財團法人醫院	國泰醫療財團法人汐止國泰綜合醫院	新北市汐止區建成路５９巷２號地下４樓至地上１２樓	2	26482121	2	1	A		20051201
1	1131130018	醫療財團法人醫院	新北市立土城醫院（委託長庚醫療財團法人興建經營）	新北市土城區金城路２段６號	2	22630588	2	1	A		20200408
1	1134010022	醫療財團法人醫院	宜蘭仁愛醫療財團法人宜蘭仁愛醫院	宜蘭縣宜蘭市中山路２段２６０號	3	9321888	3	1	A		19950923
1	1134020019	醫療財團法人醫院	醫療財團法人羅許基金會羅東博愛醫院	宜蘭縣羅東鎮南昌街８１、８３號及站前南路６１、６３號	3	9543131	2	1	A		20160301
1	1134020028	醫療財團法人醫院	天主教靈醫會醫療財團法人羅東聖母醫院	宜蘭縣羅東鎮中正南路１６０號、宜蘭縣南澳鄉大通路１１２之１號	3	9544106	2	1	A		20181101
1	1134050026	醫療財團法人醫院	天主教靈醫會醫療財團法人礁溪杏和醫院	宜蘭縣礁溪鄉礁溪路４段１２９號	3	9886996	3	2	A		20200801
1	1134070019	醫療財團法人醫院	宜蘭員山醫療財團法人宜蘭員山醫院	宜蘭縣員山鄉深溝村尚深路９１號	3	9220292	3	6	A		19970613
1	1231030015	宗教財團法人附設醫院	天主教耕莘醫療財團法人永和耕莘醫院	新北市永和區中興街８０號Ｂ１-７樓、國光路１２３號Ｂ３-１１樓	2	29286060	3	1	A		19950301
1	1231050017	宗教財團法人附設醫院	天主教耕莘醫療財團法人耕莘醫院	新北市新店區中正路３６２號、車子路１５號	2	22193391	2	1	A		19950301
1	1301110511	私立醫學院、校附設醫院	中國醫藥大學附設醫院臺北分院	臺北市內湖區內湖路２段３６０號	2	27919696	3	1	A		20080825
1	1301170017	私立醫學院、校附設醫院	臺北醫學大學附設醫院	臺北市信義區吳興街２５２號、２５０號	2	27372181	2	1	A		19950301
1	1301200010	私立醫學院、校附設醫院	臺北市立萬芳醫院－委託臺北醫學大學辦理	臺北市文山區興隆路３段１１１號	2	29307930	1	1	A		19970114
1	1331040513	私立醫學院、校附設醫院	衛生福利部雙和醫院〈委託臺北醫學大學興建經營〉	新北市中和區中正路２９１號醫療大樓地下２層至地上１２層	2	22490088	1	1	A		20080901
1	1331160010	私立醫學院、校附設醫院	輔仁大學學校財團法人輔仁大學附設醫院	新北市泰山區貴子路６９號（地下４層、地上１至１３層、１５層）	2	85128888	2	1	A		20170929
1	1401190011	公益法人所設醫院	財團法人台灣省私立台北仁濟院附設仁濟醫院	臺北市萬華區廣州街２００、２４３號	2	23021133	3	2	A		19950301
1	1401190039	公益法人所設醫院	同仁院醫療財團法人萬華醫院	臺北市萬華區中華路２段６０６巷６號	2	23059292	3	6	A		19960921
1	1411030013	公益法人所設醫院	醫療財團法人臺灣區煤礦業基金會臺灣礦工醫院	基隆市暖暖區源遠路２９號	2	24579101	3	2	A		19950301
1	1431060017	公益法人所設醫院	財團法人台灣省私立台北仁濟院附設新莊仁濟醫院	新北市新莊區中環路１段２８號	2	22015222	3	4	A		20110901
1	1501010010	私立西醫醫院	博仁綜合醫院	臺北市松山區光復北路６６、６８號	2	25786677	3	1	A		19950301
1	1501010029	私立西醫醫院	培靈醫院	臺北市松山區八德路４段３５５號	2	27606116	3	4	A		19950301
1	1501021219	私立西醫醫院	秀傳醫院	臺北市大安區光復南路１１６巷１、３、５號１至４樓及地下１樓	2	27717172	3	2	A		20180301
1	1501100037	私立西醫醫院	協和婦女醫院	臺北市中山區松江路８５巷５號９３巷６號９３巷６號２樓	2	25072222	3	2	A		19970714
1	1501101141	私立西醫醫院	泰安醫院	臺北市中山區民權東路２段９２巷２－１號（地下１樓至地上６樓）	2	25251111	3	6	A	20240620	20030919
1	1501201020	私立西醫醫院	景美醫院	臺北市文山區羅斯福路６段２８０號及文山區育英街２巷１８號	2	29331010	3	2	A		20060602
1	1511010068	私立西醫醫院	新昆明醫院	基隆市中正區中正路３０號	2	24268106	3	2	A		19990901
1	1511060022	私立西醫醫院	南光神經精神科醫院	基隆市安樂區基金一路９１號	2	24310082	3	4	A		19980708
1	1511060040	私立西醫醫院	暘基醫院	基隆市安樂區基金一路１２９巷８號地下１、地下２及１至５樓	2	24322522	3	4	A		20150108
1	1531010082	私立西醫醫院	板新醫院	新北市板橋區中正路１８９號	2	29609955	3	2	A		19950301
1	1531010108	私立西醫醫院	蕭中正醫院	新北市板橋區南雅南路１段１５－１，１７，１９號	2	29685661	3	2	A		19980821
1	1531010279	私立西醫醫院	板橋中興醫院	新北市板橋區忠孝路１５號、新北市土城區中華路１段３２號	2	29590707	3	1	A		19990316
1	1531011310	私立西醫醫院	板橋國泰醫院	新北市板橋區忠孝路５，７，９，１１號１－３樓	2	29583333	3	2	A		20000115
1	1531020122	私立西醫醫院	宏仁醫院	新北市三重區水漾路１段１５８號	2	29788877	3	2	A	20240801	19970630
1	1531021165	私立西醫醫院	三重中興醫院	新北市三重區中興北街２１號	2	29959680	3	2	A		20030828
1	1531021174	私立西醫醫院	祐民醫院	新北市三重區重新路２段２、６號，地下１層至地上９層	2	29783456	3	2	A	20231215	20060401
1	1531021183	私立西醫醫院	全民醫院	新北市三重區三和路４段１０３之２號１樓、２樓、３樓	2	22821575	3	2	A		20230807
1	1531021192	私立西醫醫院	宏仁醫院	新北市三重區水漾路１段１５８號	2	29788877	3	2	A		20240801
1	1531031278	私立西醫醫院	永和復康醫院	新北市永和區中和路５７５、５７７、５７９號１至４樓	2	29240925	3	2	A		20151106
1	1531040259	私立西醫醫院	中祥醫院	新北市中和區中山路二段３５９巷２號、４號、６號	2	22405055	3	2	A		19960902
1	1531041363	私立西醫醫院	蕙生醫院	新北市中和區中山路２段５５１號地下１樓至地上１至６樓	2	22236339	3	2	A		20050301
1	1531041390	私立西醫醫院	怡和醫院	新北市中和區連城路４９號１至４樓	2	22450009	3	2	A		20130902
1	1531041407	私立西醫醫院	祥顥醫院	新北市中和區景平路４１２、４１２之１號１至５樓	2	29468795	3	2	A	20220615	20151224
1	1531050077	私立西醫醫院	同仁醫院	新北市新店區民權路８９號	2	29170201	3	2	A		19950301
1	1531050086	私立西醫醫院	宏慈療養院	新北市新店區安泰路１５７號１、２樓	2	22151177	3	4	A		19971103
1	1531051163	私立西醫醫院	豐榮醫院	新北市新店區安德街２６巷３號B棟	2	22122111	3	2	A		20180413
1	1531051172	私立西醫醫院	新北仁康醫院	新北市新店區安康路２段３２３號地上１至２樓B棟	2	22152345	3	2	A		20180806
1	1531060046	私立西醫醫院	大順醫院	新北市新莊區中正路２１５號１－４樓	2	29911726	3	6	A		19950301
1	1531060073	私立西醫醫院	新莊英仁醫院	新北市新莊區大觀街４６－２號	2	29916363	4	2	A		19950301
1	1531060180	私立西醫醫院	新泰綜合醫院	新北市新莊區新樹路１７６號	2	29962121	3	1	A	20220301	19960711
1	1531061230	私立西醫醫院	益民醫院	新北市新莊區中港路１２７號１－４樓	2	89911050	3	2	A		20100701
1	1531061249	私立西醫醫院	新泰綜合醫院	新北市新莊區新樹路１７６號	2	29962121	3	2	A		20220301
1	1531061258	私立西醫醫院	祥顥醫院	新北市新莊區思源路２號１、４、５、６、７樓	2	22798898	3	2	A		20220615
1	1531071030	私立西醫醫院	仁愛醫院	新北市樹林區文化街９號	2	26834567	3	1	A		20000807
1	1531080226	私立西醫醫院	名恩療養院	新北市鶯歌區鶯桃路２段６２號及６４號１至４樓	2	26701092	4	4	A	20250125	20151106
1	1531091149	私立西醫醫院	清福醫院	新北市三峽區介壽路１段２８６號２樓	2	26739288	3	2	A		20210201
1	1531100027	私立西醫醫院	公祥醫院	新北市淡水區英專路２１巷２５、２７號、中山路３８、４０號	2	26217638	3	2	A	20220301	19950301
1	1531101113	私立西醫醫院	泓安醫院	新北市淡水區下圭柔山９１巷２號１－４樓地下１樓	2	26232681	3	4	A	20250516	20030415
1	1531120038	私立西醫醫院	瑞芳礦工醫院	新北市瑞芳區一坑路７１之２號	2	24974101	3	2	A		20100801
1	1531130052	私立西醫醫院	廣川醫院	新北市土城區裕民路２７４、２７６、２７８號	2	22617000	3	2	A		19950301
1	1531130105	私立西醫醫院	仁安醫院	新北市土城區中央路１段６２．６４號	2	22627088	3	2	A		19990421
1	1531131139	私立西醫醫院	元復醫院	新北市土城區中央路２段３１８－３２４號１－４樓	2	22661886	3	2	A		20070108
1	1531131157	私立西醫醫院	恩樺醫院	新北市土城區中央路１段７－１８號地下１樓、１樓、２樓	2	22639955	3	2	A		20161101
1	1531140058	私立西醫醫院	全民醫院	新北市蘆洲區三民路５、７、９號（１）樓	2	22821575	3	2	A	20230807	20191101
1	1531210019	私立西醫醫院	台安醫院	新北市三芝區楓子林路４２－５號	2	26371600	3	4	A	20250401	19950301
1	1531210037	私立西醫醫院	台安醫院	新北市三芝區興華里楓子林路４２之５號、４２之９號１至２樓	2	26371600	3	4	A		20250401
1	1701110019	私立牙醫醫院	德威國際牙醫口腔醫院	臺北市內湖區內湖路１段６５９號１樓	2	27990123	3	11	A		20210203
1	2101010013	部立及直轄市立診所	臺北市立聯合醫院附設松山門診部	臺北市松山區八德路４段６９４號１樓	2	27653147	4	8	A		19971113
1	2101020019	部立及直轄市立診所	臺北市立聯合醫院附設大安門診部	臺北市大安區辛亥路３段１５號	2	27390997	4	8	A		19971124
1	2101090011	部立及直轄市立診所	臺北市立聯合醫院附設大同門診部	臺北市大同區昌吉街５２號１至２樓	2	25948971	4	8	A		19971201
1	2101100227	部立及直轄市立診所	臺北市立聯合醫院附設中山門診部	臺北市中山區松江路３６７號１樓	2	25013363	4	8	A		19971201
1	2101110027	部立及直轄市立診所	臺北市立聯合醫院附設內湖門診部	臺北市內湖區民權東路６段９９號之１（１樓）	2	27908387	4	8	A		19971105
1	2101120014	部立及直轄市立診所	臺北市立聯合醫院附設南港門診部	臺北市南港區南港路１段３６０號１樓	2	27868756	4	8	A		19971106
1	2101150012	部立及直轄市立診所	臺北市立聯合醫院附設士林門診部	臺北市士林區中正路４３９號１樓	2	28836268	4	8	A		19971024
1	2101151037	部立及直轄市立診所	臺北市立聯合醫院附設士林中醫門診部	臺北市士林區中正路４３９號	2	28836268	4	24	A	20221128	20150115
1	2101161033	部立及直轄市立診所	臺北市立聯合醫院附設北投門診部	臺北市北投區公?路１９８號４樓	2	28912670	4	8	A		20050201
1	2101170050	部立及直轄市立診所	臺北市立聯合醫院附設信義門診部	臺北市信義區大道路１１６號１樓、２樓	2	87804152	4	8	A		19971202
1	2101180038	部立及直轄市立診所	臺北市立聯合醫院附設中正門診部	臺北市中正區牯嶺街２４號１樓	2	23210168	4	8	A		19971101
1	2101191068	部立及直轄市立診所	臺北市立聯合醫院附設萬華門診部	臺北市萬華區東園街１５２號	2	23395384	4	8	A		20050201
1	2101200017	部立及直轄市立診所	臺北市立聯合醫院附設政大門診部	臺北市文山區指南路２段１１７號	2	82377441	4	8	A		19971101
1	2211070014	縣市立診所	基隆市立慢性病防治所	基隆市信義區信二路２６６號（１Ｆ）	2	24230181	4	8	A	20240630	19950301
1	2311010010	衛生所	基隆市中正區衛生所	基隆市中正區中正路２３６號２樓	2	24621632	4	8	A		19950926
1	2311020016	衛生所	基隆市七堵區衛生所	基隆市七堵區光明路２１號１樓之１、２樓	2	24562008	4	8	A		19950301
1	2311030012	衛生所	基隆市暖暖區衛生所	基隆市暖暖區暖暖街２８１巷９８號	2	24572630	4	8	A		19950301
1	2311040018	衛生所	基隆市仁愛區衛生所	基隆市仁愛區光一路２６號	2	24311592	4	8	A		19950301
1	2311050014	衛生所	基隆市中山區衛生所	基隆市中山區中山二路１５號	2	24229860	4	8	A		20100702
1	2311060010	衛生所	基隆市安樂區衛生所	基隆市安樂區安樂路２段１６４號１樓前棟	2	24318061	4	8	A		19950301
1	2311070016	衛生所	基隆市信義區衛生所	基隆市信義區信一路６９號	2	24221633	4	8	A		19980401
1	2331010016	衛生所	新北市板橋區衛生所	新北市板橋區英士路１９２號	2	22586606	4	8	A		19950301
1	2331020012	衛生所	新北市三重區衛生所	新北市三重區新北大道１段１號	2	29825233	4	8	A		19950301
1	2331030018	衛生所	新北市永和區衛生所	新北市永和區秀朗路１段１３７號１、２、３樓	2	32332780	4	8	A		19950824
1	2331040014	衛生所	新北市中和區衛生所	新北市中和區南山路４巷３號	2	22491936	4	8	A		19950301
1	2331050010	衛生所	新北市新店區衛生所	新北市新店區北新路１段８６號１２樓	2	29113984	4	7	A		19950301
1	2331060016	衛生所	新北市新莊區衛生所	新北市新莊區中華路１段２號１至４樓	2	29967123	4	8	A		19950301
1	2331070012	衛生所	新北市樹林區衛生所	新北市樹林區樹新路４０－７號１、２樓	2	26812134	4	8	A		19950301
1	2331080018	衛生所	新北市鶯歌區衛生所	新北市鶯歌區文化路３８９號	2	26702304	4	8	A		19950301
1	2331090014	衛生所	新北市三峽區衛生所	新北市三峽區光明路７１號３樓	2	26711592	4	8	A		19950301
1	2331100015	衛生所	新北市淡水區衛生所	新北市淡水區中山路１５８號	2	26215620	4	8	A		19950301
1	2331110011	衛生所	新北市汐止區衛生所	新北市汐止區新台五路１段２６６號地下１樓．地上１至４樓	2	26412030	4	8	A		19960423
1	2331120017	衛生所	新北市瑞芳區衛生所	新北市瑞芳區明燈路３段１號	2	24972132	4	8	A		19950301
1	2331130013	衛生所	新北市土城區衛生所	新北市土城區和平路２６號１、２樓	2	22603181	4	7	A		19950301
1	2331140019	衛生所	新北市蘆洲區衛生所	新北市蘆洲區中央路５８號	2	22812011	4	8	A		19950301
1	2331150015	衛生所	新北市五股區衛生所	新北市五股區新城三路１１號１樓、２樓及３樓	2	22917717	4	8	A		19950301
1	2331160011	衛生所	新北市泰山區衛生所	新北市泰山區全興路２１２號３樓	2	22962858	4	8	A		19950301
1	2331170017	衛生所	新北市林口區衛生所	新北市林口區忠孝二路５５號	2	26068760	4	8	A		19950301
1	2331180013	衛生所	新北市深坑區衛生所	新北市深坑區深坑街１６５號１－３樓	2	26621567	4	8	A		19950301
1	2331190019	衛生所	新北市石碇區衛生所	新北市石碇區潭邊里碇坪路１段８２號	2	26631325	4	8	A		19950301
1	2331200010	衛生所	新北市坪林區衛生所	新北市坪林區坪林街１０４號	2	26656272	4	8	A		19950301
1	2331210016	衛生所	新北市三芝區衛生所	新北市三芝區中山路１段１２號	2	26362007	4	8	A		19950301
1	2331220012	衛生所	新北市石門區衛生所	新北市石門區中山路２８－１號	2	26381007	4	8	A		19950301
1	2331230018	衛生所	新北市八里區衛生所	新北市八里區舊城路１６號	2	26102137	4	8	A		19950301
1	2331240014	衛生所	新北市平溪區衛生所	新北市平溪區公園街１７號１樓	2	24951015	4	8	A		19950301
1	2331250010	衛生所	新北市雙溪區衛生所	新北市雙溪區新基南街１８號	2	24931211	4	8	A		19950301
1	2331260016	衛生所	新北市貢寮區衛生所	新北市貢寮區仁愛路１２８號	2	24901431	4	8	A		19950301
1	2331270012	衛生所	新北市金山區衛生所	新北市金山區民生路５９號	2	24984807	4	7	A		19950301
1	2331280018	衛生所	新北市萬里區衛生所	新北市萬里區瑪鍊路１５７號１－３樓及地下１樓	2	24921117	4	7	A		19950301
1	2331290014	衛生所	新北市烏來區衛生所	新北市烏來區新烏路５段１０９號	2	26617200	4	8	A		19950301
1	2334010018	衛生所	宜蘭縣宜蘭市衛生所	宜蘭縣宜蘭市健康路２段２－２號１樓	3	9322362	4	8	A		19950524
1	2334020014	衛生所	宜蘭縣羅東鎮衛生所	宜蘭縣羅東鎮民生路７９號	3	9542321	4	8	A		19950301
1	2334030010	衛生所	宜蘭縣蘇澳鎮衛生所	宜蘭縣蘇澳鎮志成路６０號	3	9962185	4	8	A		19981015
1	2334040016	衛生所	宜蘭縣頭城鎮衛生所	宜蘭縣頭城鎮吉祥路１５號	3	9771034	4	8	A		19950301
1	2334050012	衛生所	宜蘭縣礁溪鄉衛生所	宜蘭縣礁溪鄉礁溪路４段１２６號	3	9882908	4	8	A		19970227
1	2334060018	衛生所	宜蘭縣壯圍鄉衛生所	宜蘭縣壯圍鄉中央路２段２９０號	3	9385503	4	8	A		19950301
1	2334070014	衛生所	宜蘭縣員山鄉衛生所	宜蘭縣員山鄉復興路２號	3	9221575	4	8	A		19950301
1	2334081026	衛生所	宜蘭縣冬山鄉衛生所	宜蘭縣冬山鄉中正路１６號	3	9594772	4	8	A		20030501
1	2334090016	衛生所	宜蘭縣五結鄉衛生所	宜蘭縣五結鄉五結路２段３３７號	3	9501564	4	8	A		19950301
1	2334100017	衛生所	宜蘭縣三星鄉衛生所	宜蘭縣三星鄉三星路５段７０號	3	9892227	4	8	A		19950301
1	2334110013	衛生所	宜蘭縣大同鄉衛生所	宜蘭縣大同鄉崙埤村朝陽４０號	3	9801175	4	8	A		19950301
1	2334120019	衛生所	宜蘭縣南澳鄉衛生所	宜蘭縣南澳鄉蘇花路２段３７５號	3	9981019	4	8	A		19950301
1	2390010010	衛生所	金門縣金城鎮衛生所	金門縣金城鎮民權路１４７號	82	325059	4	8	A		19960807
1	2390020016	衛生所	金門縣金沙鎮衛生所	金門縣金沙鎮汶沙里后浦頭１２０號	82	352854	4	8	A		19971101
1	2390030030	衛生所	金門縣金湖鎮衛生所	金門縣金湖鎮新湖里市港６路１５號	82	336662	4	7	A		20130905
1	2390040518	衛生所	金門縣金寧鄉衛生所	金門縣金寧鄉盤山村仁愛新?２之１號	82	325735	4	8	A		20030509
1	2390050032	衛生所	金門縣烈嶼鄉衛生所	金門縣烈嶼鄉西口村西方６－５號	82	362078	4	8	A		20120202
1	2391020010	衛生所	連江縣北竿鄉衛生所	連江縣北竿鄉塘岐村２８１－６號	83	655592	4	8	A		19950301
1	2391030016	衛生所	連江縣莒光鄉西莒衛生所	連江縣莒光鄉青帆村１４－１號	83	689122	4	8	A		19950301
1	2391030026	衛生所	連江縣莒光鄉東莒衛生所	連江縣莒光鄉大坪村３０－１號	83	689038	4	8	A		19971001
1	2391040012	衛生所	連江縣東引鄉衛生所	連江縣東引鄉中柳村１２３號	83	677206	4	8	A		19950501
1	2401020024	公立學校附設醫務室	國立台灣大學保健中心	臺北市大安區羅斯福路４段１號	2	33662155	4	7	A		19950724
1	2501100010	軍方診所（民眾診療附設門診部）	國防部醫務組診所	臺北市中山區北安路４０９號	2	85099756	4	8	A		20150716
1	2501100029	軍方診所（民眾診療附設門診部）	國防部醫務組牙醫診所	臺北市中山區北安路４０９號	2	85099756	4	14	A		20180212
1	2501180018	軍方診所（民眾診療附設門診部）	國軍台北門診中心附設民眾診療服務處	臺北市中正區紹興南街７號	2	23918235	4	8	A		19950901
1	2531090518	軍方診所（民眾診療附設門診部）	國家中山科學研究院醫務所附設光武分診所	新北市三峽區中正路３段１號	2	26712711	4	8	A	20220616	20041203
1	2631010021	榮民診所（榮家醫務室）	板橋榮譽國民之家醫務室	新北市板橋區大觀路２段３２號（溫馨樓１樓）	2	22755157	4	8	A		19950301
1	2701010024	機關（構）附設醫務室	交通部民用航空局航空醫務中心	臺北市松山區敦化北路４０５巷１２３弄１０號（１、２樓）	2	25456700	4	8	A		19980430
1	2701170052	機關（構）附設醫務室	臺北市政府醫務室	臺北市信義區市府路１號（１樓東區）	2	27205389	4	8	A		19990719
1	2701171068	機關（構）附設醫務室	臺北市議會醫務室	臺北市信義區仁愛路４段５０７號（２樓）	2	27093600	4	8	A		20010322
1	2731090012	機關（構）附設醫務室	退除役官兵輔導委員會臺北榮譽國民之家醫務室	新北市三峽區嘉添里白雞路１２９號	2	26731201	4	8	A		19950301
1	2731220010	機關（構）附設醫務室	台灣電力公司第一核能發電廠員工診所	新北市石門區小坑１２號	2	26383501	4	8	A		19950301
1	2731280016	機關（構）附設醫務室	台灣電力股份有限公司第二核能發電廠員工診所	新北市萬里區野柳里八斗６０號	2	24985990	4	7	A		19950301
1	327200000I	宗教財團法人附設診所／醫務室	國民健康署	台北市大安區信義路三段140號	2	27065866	X	1	D		
